unix_ts,real_ts,HR,Ax,Ay,Az
1472639303,2016/08/31-19:28:23,104,-9.016156196594238,-0.8805587291717529,-0.07178468257188797
1472639304,2016/08/31-19:28:24,104,-10.497312545776367,-0.7657032012939453,-0.9379864931106567
1472639305,2016/08/31-19:28:25,104,-15.034104347229004,-1.4141581058502197,-0.5910272002220154
1472639306,2016/08/31-19:28:26,104,-9.29611587524414,-2.1415762901306152,1.234696388244629
1472639307,2016/08/31-19:28:27,102,-12.488142013549805,-5.840879917144775,0.6580261588096619
1472639308,2016/08/31-19:28:28,102,-14.438291549682617,-4.618147850036621,-0.3254238963127136
1472639309,2016/08/31-19:28:29,102,-15.115460395812988,-2.2396819591522217,-0.06699903309345245
1472639310,2016/08/31-19:28:30,101,-3.022134780883789,2.9288151264190674,7.192824840545654
1472639311,2016/08/31-19:28:31,100,-6.247659683227539,-1.239482045173645,4.989035129547119
1472639312,2016/08/31-19:28:32,100,-6.309873104095459,7.9585280418396,0.9619146585464478
1472639313,2016/08/31-19:28:33,101,-16.314266204833984,-0.06939186155796051,-0.04546363279223442
1472639314,2016/08/31-19:28:34,100,-16.4913330078125,-5.099104881286621,2.0721843242645264
1472639315,2016/08/31-19:28:35,99,-8.042276382446289,-3.28773832321167,6.642475128173828
1472639316,2016/08/31-19:28:36,100,-8.84626579284668,0.2967100143432617,4.419543266296387
1472639317,2016/08/31-19:28:37,99,-9.154938697814941,-0.4713860750198364,3.5676987171173096
1472639318,2016/08/31-19:28:38,99,-11.837292671203613,1.2323036193847656,-1.8065810203552246
1472639319,2016/08/31-19:28:39,100,-12.15793228149414,0.07178468257188797,-0.97148597240448
1472639320,2016/08/31-19:28:40,100,-6.369694232940674,1.9405791759490967,-0.7752745151519775
1472639321,2016/08/31-19:28:41,98,-17.608781814575195,-0.42352959513664246,-0.5072783827781677
1472639322,2016/08/31-19:28:42,96,-15.627523422241211,-2.2947168350219727,1.1988041400909424
1472639323,2016/08/31-19:28:43,96,-11.207980155944824,-5.278566360473633,4.053441524505615
1472639324,2016/08/31-19:28:44,96,-12.457035064697266,-5.575276851654053,3.5916268825531006
1472639325,2016/08/31-19:28:45,97,-6.214160442352295,-5.44845724105835,5.08953332901001
1472639326,2016/08/31-19:28:46,97,-1.0695916414260864,-2.6392831802368164,9.159724235534668
1472639327,2016/08/31-19:28:47,97,-1.423729419708252,-2.3258235454559326,9.647860527038574
1472639328,2016/08/31-19:28:48,96,-2.227717876434326,-1.6151552200317383,9.379864692687988
1472639329,2016/08/31-19:28:49,96,-2.1678972244262695,-1.864008903503418,9.260223388671875
1472639330,2016/08/31-19:28:50,95,-2.155933380126953,-2.124826431274414,9.29611587524414
1472639331,2016/08/31-19:28:51,95,-2.1822540760040283,-2.2396819591522217,9.353544235229492
1472639332,2016/08/31-19:28:52,96,-2.132004976272583,-2.227717876434326,9.286543846130371
1472639333,2016/08/31-19:28:53,95,-2.2779672145843506,-2.148754596710205,9.269794464111328
1472639334,2016/08/31-19:28:54,95,-2.3401806354522705,-2.148754596710205,9.28893756866455
1472639335,2016/08/31-19:28:55,95,-2.282752752304077,-2.249253273010254,9.20279598236084
1472639336,2016/08/31-19:28:56,95,-2.227717876434326,-2.3569302558898926,9.145368576049805
1472639337,2016/08/31-19:28:57,95,-2.2013967037200928,-2.359323024749756,9.212367057800293
1472639338,2016/08/31-19:28:58,96,-2.1846470832824707,-2.4095723628997803,9.128618240356445
1472639339,2016/08/31-19:28:59,96,-2.1655044555664062,-2.524427890777588,9.123832702636719
1472639340,2016/08/31-19:29:00,94,-2.062613010406494,-1.4404792785644531,9.372685432434082
1472639341,2016/08/31-19:29:01,95,-2.1822540760040283,-1.5433706045150757,9.384650230407715
1472639342,2016/08/31-19:29:02,96,-2.1583259105682373,-1.5553346872329712,9.355937004089355
1472639343,2016/08/31-19:29:03,98,-1.9860427379608154,-1.3328022956848145,9.458827018737793
1472639344,2016/08/31-19:29:04,97,-11.152946472167969,-5.199604034423828,11.00459098815918
1472639345,2016/08/31-19:29:05,97,-2.9838497638702393,-8.130810737609863,13.540984153747559
1472639346,2016/08/31-19:29:06,97,-3.1513471603393555,-7.503891944885254,12.191431045532227
1472639347,2016/08/31-19:29:07,98,-2.8809585571289062,-1.588834285736084,9.430113792419434
1472639348,2016/08/31-19:29:08,98,-3.077169895172119,0.7585247755050659,9.329615592956543
1472639349,2016/08/31-19:29:09,100,-3.1250264644622803,-0.9260223507881165,9.31765079498291
1472639350,2016/08/31-19:29:10,101,-4.063012599945068,-0.6604190468788147,8.863015174865723
1472639351,2016/08/31-19:29:11,102,-8.01356315612793,-0.8374879360198975,9.609575271606445
1472639352,2016/08/31-19:29:12,103,-9.55214786529541,-5.797809600830078,5.900700569152832
1472639353,2016/08/31-19:29:13,105,-2.778067111968994,-1.9405791759490967,9.241080284118652
1472639354,2016/08/31-19:29:14,105,-1.660618782043457,-5.14456844329834,10.114461898803711
1472639355,2016/08/31-19:29:15,106,-6.943971633911133,-16.307086944580078,16.094125747680664
1472639356,2016/08/31-19:29:16,106,-4.405186176300049,-2.0506489276885986,8.446663856506348
1472639357,2016/08/31-19:29:17,106,-4.378865718841553,-1.6797614097595215,8.58066177368164
1472639358,2016/08/31-19:29:18,105,-4.9292144775390625,-1.6390833854675293,8.094919204711914
1472639359,2016/08/31-19:29:19,104,-4.718646049499512,-1.8233308792114258,8.353343963623047
1472639360,2016/08/31-19:29:20,105,-4.658825397491455,-2.0482561588287354,8.173882484436035
1472639361,2016/08/31-19:29:21,106,-4.768895626068115,-2.187039852142334,8.142775535583496
1472639362,2016/08/31-19:29:22,105,-4.752145767211914,-2.155933380126953,8.195417404174805
1472639363,2016/08/31-19:29:23,104,-4.759324073791504,-2.091326951980591,8.133204460144043
1472639364,2016/08/31-19:29:24,104,-4.687539577484131,-2.0506489276885986,8.317451477050781
1472639365,2016/08/31-19:29:25,104,-4.7234320640563965,-2.1535403728485107,8.202595710754395
1472639366,2016/08/31-19:29:26,105,-4.49132776260376,-2.447857618331909,8.341379165649414
1472639367,2016/08/31-19:29:27,104,-4.871786594390869,-1.919043779373169,8.216952323913574
1472639368,2016/08/31-19:29:28,105,-4.742574691772461,-2.1846470832824707,8.24566650390625
1472639369,2016/08/31-19:29:29,107,-4.663610935211182,-2.3018953800201416,8.271987915039062
1472639370,2016/08/31-19:29:30,107,-4.7018961906433105,-2.3066811561584473,8.257630348205566
1472639371,2016/08/31-19:29:31,105,-4.677968502044678,-2.313859462738037,8.305487632751465
1472639372,2016/08/31-19:29:32,105,-2.5196423530578613,-8.405985832214355,9.07119083404541
1472639373,2016/08/31-19:29:33,105,1.0719845294952393,-3.981656789779663,3.218346357345581
1472639374,2016/08/31-19:29:34,105,6.118447780609131,3.211168050765991,0.9332008361816406
1472639375,2016/08/31-19:29:35,105,-4.764110088348389,-1.6534404754638672,8.396414756774902
1472639376,2016/08/31-19:29:36,106,-4.687539577484131,-2.091326951980591,8.317451477050781
1472639377,2016/08/31-19:29:37,107,-4.800002098083496,-1.7635102272033691,8.420342445373535
1472639378,2016/08/31-19:29:38,109,-4.67078971862793,-2.0961124897003174,8.209774017333984
1472639379,2016/08/31-19:29:39,108,-4.668396949768066,-3.0269205570220947,7.934599876403809
1472639380,2016/08/31-19:29:40,108,-4.555934429168701,-2.5698914527893066,8.195417404174805
1472639381,2016/08/31-19:29:41,107,-4.711467742919922,-2.438286304473877,8.169095993041992
1472639382,2016/08/31-19:29:42,106,-4.622933387756348,-2.502892255783081,8.176274299621582
1472639383,2016/08/31-19:29:43,107,-4.649254322052002,-2.548356056213379,8.279166221618652
1472639384,2016/08/31-19:29:44,106,-4.615755081176758,-2.548356056213379,8.271987915039062
1472639385,2016/08/31-19:29:45,106,-4.618147850036621,-2.4813570976257324,8.281558990478516
1472639386,2016/08/31-19:29:46,105,-4.53200626373291,-2.476571559906006,8.310273170471191
1472639387,2016/08/31-19:29:47,104,-3.2997026443481445,-3.0173492431640625,8.571090698242188
1472639388,2016/08/31-19:29:48,104,-0.14835500717163086,1.5864413976669312,9.906286239624023
1472639389,2016/08/31-19:29:49,103,0.1052841916680336,1.1700903177261353,10.009177207946777
1472639390,2016/08/31-19:29:50,103,0.784845769405365,-1.7994027137756348,9.556933403015137
1472639391,2016/08/31-19:29:51,102,0.8877372145652771,-2.038684844970703,9.573683738708496
1472639392,2016/08/31-19:29:52,102,0.9451649785041809,-2.1367905139923096,9.446864128112793
1472639393,2016/08/31-19:29:53,102,0.861416220664978,-2.0721843242645264,9.439685821533203
1472639394,2016/08/31-19:29:54,101,0.9499505758285522,-2.146361827850342,9.4660062789917
1472639395,2016/08/31-19:29:55,101,1.057627558708191,-2.172683000564575,9.521041870117188
1472639396,2016/08/31-19:29:56,99,1.00259268283844,-2.00518536567688,9.475577354431152
1472639397,2016/08/31-19:29:57,72,0.8997013568878174,-2.108076810836792,9.437292098999023
1472639398,2016/08/31-19:29:58,71,1.1748759746551514,-2.297109842300415,9.34157943725586
1472639399,2016/08/31-19:29:59,71,0.8087739944458008,-2.194218397140503,9.370293617248535
1472639400,2016/08/31-19:30:00,71,0.8111668825149536,-2.414358139038086,9.408578872680664
1472639401,2016/08/31-19:30:01,72,0.9379864931106567,-2.091326951980591,9.568897247314453
1472639402,2016/08/31-19:30:02,73,0.8422735333442688,-2.3856441974639893,9.389435768127441
1472639403,2016/08/31-19:30:03,74,-0.064606212079525,-1.6845470666885376,9.614361763000488
1472639404,2016/08/31-19:30:04,75,-0.20099709928035736,-0.8590233325958252,9.81535816192627
1472639405,2016/08/31-19:30:05,74,0.3254238963127136,-1.648654818534851,9.585646629333496
1472639406,2016/08/31-19:30:06,74,-0.38763725757598877,-0.28953152894973755,10.04985523223877
1472639407,2016/08/31-19:30:07,75,0.9619146585464478,-2.0889341831207275,9.44447135925293
1472639408,2016/08/31-19:30:08,74,0.6580261588096619,-2.0985054969787598,9.619147300720215
1472639409,2016/08/31-19:30:09,72,0.7250252366065979,-2.1200408935546875,9.473184585571289
1472639410,2016/08/31-19:30:10,72,0.4977070987224579,-2.4646072387695312,9.437292098999023
